Entity,Code,Year,Population (historical)
Afghanistan,AFG,-10000,14737
Afghanistan,AFG,-9000,20405
Afghanistan,AFG,-8000,28253
Afghanistan,AFG,-7000,39120
Afghanistan,AFG,-6000,54166
Afghanistan,AFG,-5000,75000
Afghanistan,AFG,-4000,306250
Afghanistan,AFG,-3000,537500
Afghanistan,AFG,-2000,768750
Afghanistan,AFG,-1000,1000000
Afghanistan,AFG,0,2000000
Afghanistan,AFG,100,2250000
Afghanistan,AFG,200,2500000
Afghanistan,AFG,300,2500000
Afghanistan,AFG,400,2500000
Afghanistan,AFG,500,2500000
Afghanistan,AFG,600,2500000
Afghanistan,AFG,700,2425000
Afghanistan,AFG,800,2350000
Afghanistan,AFG,900,2300000
Afghanistan,AFG,1000,2250000
Afghanistan,AFG,1100,2375000
Afghanistan,AFG,1200,2500000
Afghanistan,AFG,1300,1750000
Afghanistan,AFG,1400,1875000
Afghanistan,AFG,1500,2000000
Afghanistan,AFG,1600,2500000
Afghanistan,AFG,1700,2500000
Afghanistan,AFG,1710,2561625
Afghanistan,AFG,1720,2619844
Afghanistan,AFG,1730,2679386
Afghanistan,AFG,1740,2740281
Afghanistan,AFG,1750,2802560
Afghanistan,AFG,1760,2866255
Afghanistan,AFG,1770,2931397
Afghanistan,AFG,1780,2998019
Afghanistan,AFG,1790,3066156
Afghanistan,AFG,1800,3280000
Afghanistan,AFG,1801,3280000
Afghanistan,AFG,1802,3280000
Afghanistan,AFG,1803,3280000
Afghanistan,AFG,1804,3280000
Afghanistan,AFG,1805,3280000
Afghanistan,AFG,1806,3280000
Afghanistan,AFG,1807,3280000
Afghanistan,AFG,1808,3280000
Afghanistan,AFG,1809,3280000
Afghanistan,AFG,1810,3280000
Afghanistan,AFG,1811,3280000
Afghanistan,AFG,1812,3280000
Afghanistan,AFG,1813,3280000
Afghanistan,AFG,1814,3280000
Afghanistan,AFG,1815,3280000
Afghanistan,AFG,1816,3280000
Afghanistan,AFG,1817,3280000
Afghanistan,AFG,1818,3280000
Afghanistan,AFG,1819,3282935
Afghanistan,AFG,1820,3288817
Afghanistan,AFG,1821,3297661
Afghanistan,AFG,1822,3309479
Afghanistan,AFG,1823,3324285
Afghanistan,AFG,1824,3339157
Afghanistan,AFG,1825,3354095
Afghanistan,AFG,1826,3369101
Afghanistan,AFG,1827,3384173
Afghanistan,AFG,1828,3399313
Afghanistan,AFG,1829,3414520
Afghanistan,AFG,1830,3429796
Afghanistan,AFG,1831,3445140
Afghanistan,AFG,1832,3460553
Afghanistan,AFG,1833,3476034
Afghanistan,AFG,1834,3491585
Afghanistan,AFG,1835,3507205
Afghanistan,AFG,1836,3522896
Afghanistan,AFG,1837,3538656
Afghanistan,AFG,1838,3554487
Afghanistan,AFG,1839,3570389
Afghanistan,AFG,1840,3586362
Afghanistan,AFG,1841,3602406
Afghanistan,AFG,1842,3618522
Afghanistan,AFG,1843,3634711
Afghanistan,AFG,1844,3650971
Afghanistan,AFG,1845,3667305
Afghanistan,AFG,1846,3683711
Afghanistan,AFG,1847,3700191
Afghanistan,AFG,1848,3716745
Afghanistan,AFG,1849,3734342
Afghanistan,AFG,1850,3752993
Afghanistan,AFG,1851,3767956
Afghanistan,AFG,1852,3783940
Afghanistan,AFG,1853,3800954
Afghanistan,AFG,1854,3818038
Afghanistan,AFG,1855,3835192
Afghanistan,AFG,1856,3852417
Afghanistan,AFG,1857,3869714
Afghanistan,AFG,1858,3887081
Afghanistan,AFG,1859,3904521
Afghanistan,AFG,1860,3922032
Afghanistan,AFG,1861,3939616
Afghanistan,AFG,1862,3957271
Afghanistan,AFG,1863,3975000
Afghanistan,AFG,1864,3992801
Afghanistan,AFG,1865,4010675
Afghanistan,AFG,1866,4028623
Afghanistan,AFG,1867,4046645
Afghanistan,AFG,1868,4064740
Afghanistan,AFG,1869,4082915
Afghanistan,AFG,1870,4101170
Afghanistan,AFG,1871,4119504
Afghanistan,AFG,1872,4137920
Afghanistan,AFG,1873,4156416
Afghanistan,AFG,1874,4174988
Afghanistan,AFG,1875,4193635
Afghanistan,AFG,1876,4212359
Afghanistan,AFG,1877,4231159
Afghanistan,AFG,1878,4250036
Afghanistan,AFG,1879,4268990
Afghanistan,AFG,1880,4288021
Afghanistan,AFG,1881,4307129
Afghanistan,AFG,1882,4326316
Afghanistan,AFG,1883,4345580
Afghanistan,AFG,1884,4364922
Afghanistan,AFG,1885,4384343
Afghanistan,AFG,1886,4403843
Afghanistan,AFG,1887,4423422
Afghanistan,AFG,1888,4443080
Afghanistan,AFG,1889,4462817
Afghanistan,AFG,1890,4482635
Afghanistan,AFG,1891,4502532
Afghanistan,AFG,1892,4522510
Afghanistan,AFG,1893,4542568
Afghanistan,AFG,1894,4562708
Afghanistan,AFG,1895,4582928
Afghanistan,AFG,1896,4603230
Afghanistan,AFG,1897,4623613
Afghanistan,AFG,1898,4644079
Afghanistan,AFG,1899,4672084
Afghanistan,AFG,1900,4707744
Afghanistan,AFG,1901,4751177
Afghanistan,AFG,1902,4802500
Afghanistan,AFG,1903,4861833
Afghanistan,AFG,1904,4921891
Afghanistan,AFG,1905,4982681
Afghanistan,AFG,1906,5044212
Afghanistan,AFG,1907,5106495
Afghanistan,AFG,1908,5169536
Afghanistan,AFG,1909,5300178
Afghanistan,AFG,1910,5504191
Afghanistan,AFG,1911,5787792
Afghanistan,AFG,1912,6157669
Afghanistan,AFG,1913,6621025
Afghanistan,AFG,1914,7119235
Afghanistan,AFG,1915,7654918
Afghanistan,AFG,1916,8230894
Afghanistan,AFG,1917,8850190
Afghanistan,AFG,1918,9529174
Afghanistan,AFG,1919,9976355
Afghanistan,AFG,1920,10188845
Afghanistan,AFG,1921,10162753
Afghanistan,AFG,1922,9893152
Afghanistan,AFG,1923,9374030
Afghanistan,AFG,1924,8882148
Afghanistan,AFG,1925,8416077
Afghanistan,AFG,1926,7974462
Afghanistan,AFG,1927,7556019
Afghanistan,AFG,1928,7159534
Afghanistan,AFG,1929,6851115
Afghanistan,AFG,1930,6626142
Afghanistan,AFG,1931,6480237
Afghanistan,AFG,1932,6409250
Afghanistan,AFG,1933,6409250
Afghanistan,AFG,1934,6409250
Afghanistan,AFG,1935,6409250
Afghanistan,AFG,1936,6409250
Afghanistan,AFG,1937,6409250
Afghanistan,AFG,1938,6409250
Afghanistan,AFG,1939,6428903
Afghanistan,AFG,1940,6468510
Afghanistan,AFG,1941,6528377
Afghanistan,AFG,1942,6608815
Afghanistan,AFG,1943,6710138
Afghanistan,AFG,1944,6813016
Afghanistan,AFG,1945,6917471
Afghanistan,AFG,1946,7023527
Afghanistan,AFG,1947,7131209
Afghanistan,AFG,1948,7240542
Afghanistan,AFG,1949,7356890
Afghanistan,AFG,1950,7776182
Afghanistan,AFG,1951,7879343
Afghanistan,AFG,1952,7987783
Afghanistan,AFG,1953,8096703
Afghanistan,AFG,1954,8207953
Afghanistan,AFG,1955,8326981
Afghanistan,AFG,1956,8454302
Afghanistan,AFG,1957,8588340
Afghanistan,AFG,1958,8723412
Afghanistan,AFG,1959,8869271
Afghanistan,AFG,1960,9035048
Afghanistan,AFG,1961,9214082
Afghanistan,AFG,1962,9404411
Afghanistan,AFG,1963,9604491
Afghanistan,AFG,1964,9814318
Afghanistan,AFG,1965,10036003
Afghanistan,AFG,1966,10266397
Afghanistan,AFG,1967,10505961
Afghanistan,AFG,1968,10756924
Afghanistan,AFG,1969,11017417
Afghanistan,AFG,1970,11290135
Afghanistan,AFG,1971,11567672
Afghanistan,AFG,1972,11853697
Afghanistan,AFG,1973,12158000
Afghanistan,AFG,1974,12469127
Afghanistan,AFG,1975,12773967
Afghanistan,AFG,1976,13059861
Afghanistan,AFG,1977,13340758
Afghanistan,AFG,1978,13611445
Afghanistan,AFG,1979,13655572
Afghanistan,AFG,1980,13169312
Afghanistan,AFG,1981,11937587
Afghanistan,AFG,1982,10991382
Afghanistan,AFG,1983,10917986
Afghanistan,AFG,1984,11190220
Afghanistan,AFG,1985,11426855
Afghanistan,AFG,1986,11420074
Afghanistan,AFG,1987,11387824
Afghanistan,AFG,1988,11523299
Afghanistan,AFG,1989,11874088
Afghanistan,AFG,1990,12045664
Afghanistan,AFG,1991,12238879
Afghanistan,AFG,1992,13278982
Afghanistan,AFG,1993,14943174
Afghanistan,AFG,1994,16250799
Afghanistan,AFG,1995,17065836
Afghanistan,AFG,1996,17763265
Afghanistan,AFG,1997,18452100
Afghanistan,AFG,1998,19159996
Afghanistan,AFG,1999,19887791
Afghanistan,AFG,2000,20130334
Afghanistan,AFG,2001,20284303
Afghanistan,AFG,2002,21378123
Afghanistan,AFG,2003,22733054
Afghanistan,AFG,2004,23560656
Afghanistan,AFG,2005,24404574
Afghanistan,AFG,2006,25424100
Afghanistan,AFG,2007,25909852
Afghanistan,AFG,2008,26482629
Afghanistan,AFG,2009,27466101
Afghanistan,AFG,2010,28284088
Afghanistan,AFG,2011,29347709
Afghanistan,AFG,2012,30560036
Afghanistan,AFG,2013,31622708
Afghanistan,AFG,2014,32792527
Afghanistan,AFG,2015,33831765
Afghanistan,AFG,2016,34700614
Afghanistan,AFG,2017,35688942
Afghanistan,AFG,2018,36743040
Afghanistan,AFG,2019,37856126
Afghanistan,AFG,2020,39068978
Afghanistan,AFG,2021,40000411
Afghanistan,AFG,2022,40578846
Afghanistan,AFG,2023,41454762
Africa,,-10000,1118546
Africa,,-9000,1214579
Africa,,-8000,1355402
Africa,,-7000,1563759
Africa,,-6000,1874767
Africa,,-5000,2343001
Africa,,-4000,3153796
Africa,,-3000,4916388
Africa,,-2000,6982659
Africa,,-1000,9924016
Africa,,0,15759611
Africa,,100,17143598
Africa,,200,18720165
Africa,,300,19687502
Africa,,400,20957788
Africa,,500,22481835
Africa,,600,24495417
Africa,,700,28088206
Africa,,800,32646756
Africa,,900,36652028
Africa,,1000,40754096
Africa,,1100,43329078
Africa,,1200,46424649
Africa,,1300,51825234
Africa,,1400,55714604
Africa,,1500,59497753
Africa,,1555,64474710
Africa,,1600,69451667
Africa,,1640,74462104
Africa,,1700,79472542
Africa,,1710,78950470
Africa,,1720,79203558
Africa,,1730,79520498
Africa,,1740,79902000
Africa,,1750,80349715
Africa,,1760,80866461
Africa,,1770,81456617
Africa,,1780,82126790
Africa,,1785,82381934
Africa,,1788,82637079
Africa,,1790,82892223
Africa,,1800,81273172
Africa,,1801,81378197
Africa,,1802,81484588
Africa,,1803,81592351
Africa,,1804,81701503
Africa,,1805,81812061
Africa,,1806,81924029
Africa,,1807,82037425
Africa,,1808,82152271
Africa,,1809,82268577
Africa,,1810,82387585
Africa,,1811,82515959
Africa,,1812,82655601
Africa,,1813,82806647
Africa,,1814,82969493
Africa,,1815,83144278
Africa,,1816,83331163
Africa,,1817,83530303
Africa,,1818,83741849
Africa,,1819,84037482
Africa,,1820,84418699
Africa,,1821,84896601
Africa,,1822,85462636
Africa,,1823,86142885
Africa,,1824,86843609
Africa,,1825,87565137
Africa,,1826,88307785
Africa,,1827,89071893
Africa,,1828,89857801
Africa,,1829,90666142
Africa,,1830,91497291
Africa,,1831,92352331
Africa,,1832,93221742
Africa,,1833,94105808
Africa,,1834,95004472
Africa,,1835,95918027
Africa,,1836,96846733
Africa,,1837,97790863
Africa,,1838,98750710
Africa,,1839,99745866
Africa,,1840,100777177
Africa,,1841,101844538
Africa,,1842,102949818
Africa,,1843,104093942
Africa,,1844,105258529
Africa,,1845,106444013
Africa,,1846,107650802
Africa,,1847,108879329
Africa,,1848,110130035
Africa,,1849,111271621
Africa,,1850,112301163
Africa,,1851,112964625
Africa,,1852,113506374
Africa,,1853,113925748
Africa,,1854,114348862
Africa,,1855,114775726
Africa,,1856,115206465
Africa,,1857,115641146
Africa,,1858,116079843
Africa,,1859,116531294
Africa,,1860,116995450
Africa,,1861,117468679
Africa,,1862,117954363
Africa,,1863,118452604
Africa,,1864,118954681
Africa,,1865,119460616
Africa,,1866,119970440
Africa,,1867,120484192
Africa,,1868,121001894
Africa,,1869,121535848
Africa,,1870,122086255
Africa,,1871,122649582
Africa,,1872,123231396
Africa,,1873,123830278
Africa,,1874,124434132
Africa,,1875,125042995
Africa,,1876,125656913
Africa,,1877,126275921
Africa,,1878,126900066
Africa,,1879,127539564
Africa,,1880,128194527
Africa,,1881,128863890
Africa,,1882,129548955
Africa,,1883,130249836
Africa,,1884,130956522
Africa,,1885,131669056
Africa,,1886,132387485
Africa,,1887,133111879
Africa,,1888,133842280
Africa,,1889,134489847
Africa,,1890,135054738
Africa,,1891,135539040
Africa,,1892,135941070
Africa,,1893,136260909
Africa,,1894,136587590
Africa,,1895,136921163
Africa,,1896,137261683
Africa,,1897,137609187
Africa,,1898,137963724
Africa,,1899,138345391
Africa,,1900,138755559
Africa,,1901,139195205
Africa,,1902,139666271
Africa,,1903,140170120
Africa,,1904,140688001
Africa,,1905,141220048
Africa,,1906,141766391
Africa,,1907,142327180
Africa,,1908,142902543
Africa,,1909,143483346
Africa,,1910,144068383
Africa,,1911,144655670
Africa,,1912,145245400
Africa,,1913,145835662
Africa,,1914,146434524
Africa,,1915,147042086
Africa,,1916,147658424
Africa,,1917,148283643
Africa,,1918,148892208
Africa,,1919,149751440
Africa,,1920,150865200
Africa,,1921,152239781
Africa,,1922,153876862
Africa,,1923,155780482
Africa,,1924,157712366
Africa,,1925,159672951
Africa,,1926,161662674
Africa,,1927,163681990
Africa,,1928,165731367
Africa,,1929,167813287
Africa,,1930,169928217
Africa,,1931,172076932
Africa,,1932,174259628
Africa,,1933,176476818
Africa,,1934,178726971
Africa,,1935,181010603
Africa,,1936,183328236
Africa,,1937,185680386
Africa,,1938,188067589
Africa,,1939,190609541
Africa,,1940,193310936
Africa,,1941,196179606
Africa,,1942,199217449
Africa,,1943,202429523
Africa,,1944,205701845
Africa,,1945,209035597
Africa,,1946,212431973
Africa,,1947,215892205
Africa,,1948,219417537
Africa,,1949,223283535
Africa,,1950,227776838
Africa,,1951,232557383
Africa,,1952,237539907
Africa,,1953,242685413
Africa,,1954,248006202
Africa,,1955,253538227
Africa,,1956,259271778
Africa,,1957,265129071
Africa,,1958,271042087
Africa,,1959,277271966
Africa,,1960,283922289
Africa,,1961,290814083
Africa,,1962,297959967
Africa,,1963,305371382
Africa,,1964,313060731
Africa,,1965,321013569
Africa,,1966,329252360
Africa,,1967,337851070
Africa,,1968,346800965
Africa,,1969,356032572
Africa,,1970,365552194
Africa,,1971,375326467
Africa,,1972,385312221
Africa,,1973,395821972
Africa,,1974,406870347
Africa,,1975,418433494
Africa,,1976,430496972
Africa,,1977,442660474
Africa,,1978,455539246
Africa,,1979,469198447
Africa,,1980,483051703
Africa,,1981,497620997
Africa,,1982,512958818
Africa,,1983,528232712
Africa,,1984,543638102
Africa,,1985,559664031
Africa,,1986,575967283
Africa,,1987,592601301
Africa,,1988,609387686
Africa,,1989,626359180
Africa,,1990,643775320
Africa,,1991,661103806
Africa,,1992,678558076
Africa,,1993,696621727
Africa,,1994,714502658
Africa,,1995,732695476
Africa,,1996,751473728
Africa,,1997,770384702
Africa,,1998,789981698
Africa,,1999,810079818
Africa,,2000,830582806
Africa,,2001,851690329
Africa,,2002,873411364
Africa,,2003,895734453
Africa,,2004,918778450
Africa,,2005,942546623
Africa,,2006,966932346
Africa,,2007,992055831
Africa,,2008,1018065513
Africa,,2009,1044777740
Africa,,2010,1072216718
Africa,,2011,1100148882
Africa,,2012,1128843697
Africa,,2013,1158780551
Africa,,2014,1189220573
Africa,,2015,1220075728
Africa,,2016,1251208654
Africa,,2017,1282902302
Africa,,2018,1315409965
Africa,,2019,1348005687
Africa,,2020,1380821355
Africa,,2021,1413753270
Africa,,2022,1446883817
Africa,,2023,1480770740
Africa (UN),,1950,227776419
Africa (UN),,1951,232556971
Africa (UN),,1952,237539544
Africa (UN),,1953,242685066
Africa (UN),,1954,248005818
Africa (UN),,1955,253537850
Africa (UN),,1956,259271439
Africa (UN),,1957,265128663
Africa (UN),,1958,271041739
Africa (UN),,1959,277271607
Africa (UN),,1960,283921952
Africa (UN),,1961,290813750
Africa (UN),,1962,297959631
Africa (UN),,1963,305371042
Africa (UN),,1964,313060398
Africa (UN),,1965,321013250
Africa (UN),,1966,329251993
Africa (UN),,1967,337850713
Africa (UN),,1968,346800643
Africa (UN),,1969,356032260
Africa (UN),,1970,365551874
Africa (UN),,1971,375326099
Africa (UN),,1972,385311883
Africa (UN),,1973,395821648
Africa (UN),,1974,406869977
Africa (UN),,1975,418433160
Africa (UN),,1976,430496629
Africa (UN),,1977,442660133
Africa (UN),,1978,455538925
Africa (UN),,1979,469198175
Africa (UN),,1980,483051387
Africa (UN),,1981,497620643
Africa (UN),,1982,512958551
Africa (UN),,1983,528232408
Africa (UN),,1984,543637781
Africa (UN),,1985,559663771
Africa (UN),,1986,575967004
Africa (UN),,1987,592601033
Africa (UN),,1988,609387393
Africa (UN),,1989,626358876
Africa (UN),,1990,643775030
Africa (UN),,1991,661103507
Africa (UN),,1992,678557822
Africa (UN),,1993,696621490
Africa (UN),,1994,714502385
Africa (UN),,1995,732695149
Africa (UN),,1996,751473491
Africa (UN),,1997,770384412
Africa (UN),,1998,789981456
Africa (UN),,1999,810079553
Africa (UN),,2000,830582527
Africa (UN),,2001,851690082
Africa (UN),,2002,873411063
Africa (UN),,2003,895734225
Africa (UN),,2004,918778215
Africa (UN),,2005,942546391
Africa (UN),,2006,966932135
Africa (UN),,2007,992055602
Africa (UN),,2008,1018065273
Africa (UN),,2009,1044777532
Africa (UN),,2010,1072216499
Africa (UN),,2011,1100148605
Africa (UN),,2012,1128843456
Africa (UN),,2013,1158780288
Africa (UN),,2014,1189220347
Africa (UN),,2015,1220075494
Africa (UN),,2016,1251208463
Africa (UN),,2017,1282902108
Africa (UN),,2018,1315409781
Africa (UN),,2019,1348005491
Africa (UN),,2020,1380821159
Africa (UN),,2021,1413753053
Africa (UN),,2022,1446883651
Africa (UN),,2023,1480770527